מס' חדר,ID,קטגוריה,סוג,משפחה,קומה
L3018,1716801,Electrical Equipment,60x240x210,Yani_Circuit breaker_SwitchBoard,L3
L3018,4325417,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L3
L3024,3878251,Electrical Fixtures,FOR LSS UPS,Frame_Socket,L3
L3025,3879083,Electrical Fixtures,W,M_Junction Boxes - W,L3
L3025,11106573,Mechanical Equipment,AW 450,AW 450(right),L3
L3028,1613943,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3028,1613945,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3028,1613947,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3028,1654780,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,L3
L3028,3943994,Electrical Fixtures,Type 2,Frame_Socket,L3
L3028,3950990,Electrical Fixtures,Type 2,Frame_Socket,L3
L3028,3955721,Electrical Fixtures,Type 2,Frame_Socket,L3
L3028,3955779,Electrical Fixtures,Type 2,Frame_Socket,L3
L3028,3997888,Electrical Fixtures,1 AC,Frame_Socket,L3
L3028,3997893,Electrical Fixtures,1 AC,Frame_Socket,L3
L3028,11105074,Mechanical Equipment,AWSQ 1500,AWSQ 1500(right),L3
L3028,11105118,Mechanical Equipment,AWSQ 1000,AWSQ 1000(right),L3
L3029,1613985,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3029,1613986,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3029,1752526,Electrical Fixtures,Normal x1 WP,Frame_Socket,L3
L3029,3882184,Electrical Fixtures,Type 2,Frame_Socket,L3
L3029,3882361,Electrical Fixtures,Type 2,Frame_Socket,L3
L3029,3882391,Electrical Fixtures,Type 2,Frame_Socket,L3
L3030,3967448,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3030,3967449,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3033,1613940,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3033,1613942,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3033,1714276,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,L3
L3033,1714277,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,L3
L3033,1717201,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3033,1717203,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3033,1717204,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3033,1717205,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3033,1717206,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3033,1717207,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3033,1717208,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3033,1717209,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L3
