מספר חדר,ID,קטגוריה,סוג,משפחה,קומה
P1087,1505669,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P1
P1087,1532177,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P1
P1087,1532219,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P1
P1087,2249025,Electrical Fixtures,Normal x2,Frame_Socket,P1
P1087,3065067,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1087,3065112,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1087,3065121,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1087,3065132,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1087,3065196,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1025,1518248,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1025,2154960,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1122,1532607,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P1
P1122,3066178,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1122,3066210,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1122,3066218,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1008,1521523,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1008,1521525,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1008,1521687,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1008,1533153,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P1
P1008,2248704,Electrical Fixtures,Type 1,Frame_Socket,P1
P1008,2248712,Electrical Fixtures,Normal x2,Frame_Socket,P1
P1008,2256187,Electrical Fixtures,2,BOX D,P1
P1008,2256703,Electrical Fixtures,2,BOX D,P1
P1066,1518752,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1066,1518788,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1066,1518796,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1066,1518804,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1066,1518866,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P1
P1066,1518867,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1066,1518868,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1066,1533070,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P1
P1066,1536049,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P1
P1066,2248766,Electrical Fixtures,W,M_Junction Boxes - W,P1
P1020,1439834,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,P1
P1020,1439835,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,P1
P1020,1439836,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,P1
P1020,1479237,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P1
P1020,1482897,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1020,1482898,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1020,1482899,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1020,1482900,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1020,1482901,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1020,1482902,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1020,1482903,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1020,1533004,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P1
P1020,2248835,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P1
P1020,2248837,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P1
P1020,2249268,Electrical Fixtures,1 AC GEN,Frame_Socket,P1
P1020,2249270,Electrical Fixtures,1 AC GEN,Frame_Socket,P1
P1020,4368541,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1020,4368614,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1020,12429678,Mechanical Equipment,AW 1200,AW 1200,P1
P1020,12429679,Mechanical Equipment,AW 1200,AW 1200,P1
P1016,2355992,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P1
P1016,2356051,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P1
P1054,1520292,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P1
P1054,1520378,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1054,2248803,Electrical Fixtures,Normal x2,Frame_Socket,P1
P1054,2666454,Electrical Equipment,800mmx400mmx2200h,M_Transformer Switchboard,P1
P1054,4256584,Electrical Equipment,800mmx400mmx2200h,M_Transformer Switchboard,P1
P1086,1513800,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1086,1532262,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P1
P1086,1534693,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P1
P1086,1535386,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P1
P1086,3065703,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1086,3065732,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1086,3065734,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1046,1454028,Electrical Equipment,60x160x210 UPS,Yani_Circuit breaker_SwitchBoard,P1
P1046,2248876,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P1
P1084,1452880,Electrical Equipment,60x240x210,Yani_Circuit breaker_SwitchBoard,P1
P1084,1452881,Electrical Equipment,60x240x210  GEN,Yani_Circuit breaker_SwitchBoard,P1
P1084,2248872,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P1
P1084,2248874,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P1
P1059,1479303,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1059,1479304,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1059,1532383,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P1
P1162,1491118,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1162,2249161,Electrical Fixtures,Normal x2,Frame_Socket,P1
P1007,3091609,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1103,1519644,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1103,1519725,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1103,1519734,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1103,1520206,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1103,1533259,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P1
P1103,2248703,Electrical Fixtures,Type 1,Frame_Socket,P1
P1103,2248713,Electrical Fixtures,Normal x2,Frame_Socket,P1
P1103,2248794,Electrical Fixtures,Normal x2,Frame_Socket,P1
P1103,2248796,Electrical Fixtures,Normal x2,Frame_Socket,P1
P1103,2256450,Electrical Fixtures,2,BOX D,P1
P1103,2256592,Electrical Fixtures,2,BOX D,P1
P1113,2151456,Lighting Fixtures,0300x1200mm(1 Lamp) - 220V,M_Ceiling Light - Linear Box,P1
P1113,2156423,Lighting Fixtures,0300x1200mm(1 Lamp) - 220V,M_Ceiling Light - Linear Box,P1
P1019,2248697,Electrical Fixtures,Normal x2,Frame_Socket,P1
P1032,1600820,Electrical Equipment,60x240x210  GEN,Yani_Circuit breaker_SwitchBoard,P1
P1032,4310587,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P1
P1060,2250479,Electrical Fixtures,Normal x1,Frame_Socket,P1
P1006,1522831,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P1
P1006,1522838,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P1
P1006,1522846,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P1
P1006,2154140,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P1
P1006,3070987,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P1
P1006,3070996,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P1
P1006,3071006,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P1
P1006,3072894,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1006,3072946,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1006,3072967,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1006,3072977,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1006,3073055,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P1
P1006,3073063,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P1
P1006,3073071,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P1
P1006,3073079,Lighting Fixtures,Type 1,Lighting_Ceiling-Mounted_Regent_REGENT_Echo_LED_RDL_3000K_D210,P1
P1006,3138671,Electrical Fixtures,Presence WC LM detector Mov,Detector Presence,P1
P1006,3138673,Electrical Equipment,6131_38-183-500,E_Wall Junction Box_MEPcontent_ABB_KNX Box_INT-EN_Shared,P1
P1139,928004,Electrical Equipment,Transformer  2500kVA,Electrical_Transformers_Simens-AG_Geafol_Transformer,P1
P1139,1521987,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1139,1522048,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1139,1522308,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1139,4070393,Electrical Equipment,60 kVA,M_Uninterruptible Power Supply,P1
P1139,4070394,Electrical Equipment,UPS60 Panel,M_Uninterruptible Power Supply,P1
P1139,4232427,Electrical Equipment,60 kVA,M_Uninterruptible Power Supply,P1
P1139,4310682,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P1
P1026,1518264,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1026,1518323,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1026,1518364,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1026,1518365,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1026,1533016,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P1
P1026,3071862,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1026,3071960,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P1
P1010,1439826,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,P1
P1010,1439827,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,P1
P1010,1439832,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,P1
P1010,1439833,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,P1
P1010,1518923,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1010,1518924,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1010,1518925,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1010,1518927,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1010,1518928,Lighting Fixtures,42W 4000K,סי לד 6600,P1
P1010,1532716,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P1
