מס' חדר,ID,קטגוריה,סוג,משפחה,קומה
P0002,1855052,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P0
P0002,1855357,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P0
P0002,3075950,Lighting Fixtures,700 24h,פס לד שקוע,P0
P0002,3075961,Lighting Fixtures,רוחב 151,פס לד שקוע,P0
P0002,3075963,Lighting Fixtures,רוחב 151,פס לד שקוע,P0
P0002,3075965,Lighting Fixtures,רוחב 151,פס לד שקוע,P0
P0002,3075967,Lighting Fixtures,רוחב 151,פס לד שקוע,P0
P0002,3075969,Lighting Fixtures,רוחב 151,פס לד שקוע,P0
P0002,3075971,Lighting Fixtures,רוחב 151,פס לד שקוע,P0
P0002,3083357,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P0
P0002,3632923,Electrical Fixtures,Presence WC LM detector Mov,Detector Presence,P0
P0002,3632924,Electrical Equipment,6131_38-183-500,E_Wall Junction Box_MEPcontent_ABB_KNX Box_INT-EN_Shared,P0
P0002,7560585,Mechanical Equipment,AWL 800,AWL 800,P0
P0003,3084014,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P0
P0003,3090208,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P0
P0003,3090276,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P0
P0004,1803839,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P0
P0004,1804198,Lighting Fixtures,42W 4000K,סי לד 6600,P0
P0004,1804227,Lighting Fixtures,42W 4000K,סי לד 6600,P0
P0004,1804244,Lighting Fixtures,42W 4000K,סי לד 6600,P0
P0004,1804265,Lighting Fixtures,42W 4000K,סי לד 6600,P0
P0004,1804282,Lighting Fixtures,42W 4000K,סי לד 6600,P0
P0004,1804303,Lighting Fixtures,42W 4000K,סי לד 6600,P0
P0004,1804497,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P0
P0004,1805733,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P0
P0004,1805754,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P0
P0004,1839953,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033406,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033465,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033639,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033705,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033707,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033709,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033711,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033713,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033715,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033717,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033719,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033721,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033730,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2033926,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2034022,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2034084,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2034086,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2034088,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2034090,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2034092,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2034094,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2034096,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2034098,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2034100,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,2034102,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,3083807,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P0
P0004,3084270,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P0
P0004,4291458,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,4291460,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,4291461,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,4291633,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,4291634,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,4291652,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,4291692,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,4291694,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,4291798,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,4291800,Electrical Fixtures,Normal x2,Frame_Socket,P0
P0004,7417373,Mechanical Equipment,AWS 1000,AWS 1000,P0
P0007,1855484,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P0
P0007,1855641,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P0
P0007,3075949,Lighting Fixtures,600 24h,פס לד שקוע,P0
P0007,3075951,Lighting Fixtures,רוחב 151,פס לד שקוע,P0
P0007,3075953,Lighting Fixtures,רוחב 151,פס לד שקוע,P0
P0007,3075955,Lighting Fixtures,רוחב 151,פס לד שקוע,P0
P0007,3075957,Lighting Fixtures,רוחב 151,פס לד שקוע,P0
P0007,3075959,Lighting Fixtures,רוחב 151,פס לד שקוע,P0
P0007,3083548,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P0
P0007,7560566,Mechanical Equipment,AWL 600,AWL 600,P0
P0008,1791161,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P0
P0008,1791349,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P0
