מס' חדר,ID,קטגוריה,סוג,משפחה,קומה
L2001,1615490,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L2
L2001,1615491,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L2
L2003,1615528,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L2
L2003,1615529,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L2
L2003,1615530,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L2
L2003,1654796,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,L2
L2003,3746890,Electrical Fixtures,Type 2,Frame_Socket,L2
L2003,3746947,Electrical Fixtures,Type 2,Frame_Socket,L2
L2003,3747188,Electrical Fixtures,Type 2,Frame_Socket,L2
L2003,3747208,Electrical Fixtures,Type 2,Frame_Socket,L2
L2003,11173812,Mechanical Equipment,AWSQ 1000,AWSQ 1000(right),L2
L2003,11173820,Mechanical Equipment,AWSQ 1500,AWSQ 1500(right),L2
L2004,1615533,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L2
L2004,1615534,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L2
L2004,1757862,Electrical Fixtures,Normal x1 WP,Frame_Socket,L2
L2004,3761407,Electrical Fixtures,Type 2,Frame_Socket,L2
L2004,3761445,Electrical Fixtures,Type 2,Frame_Socket,L2
L2004,3761496,Electrical Fixtures,Type 2,Frame_Socket,L2
L2007,1615492,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L2
L2007,1615493,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L2
