מספר חדר,ID,קטגוריה,סוג,משפחה,נבדק,הערה
L0001,2354574,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,True,נבדק ומתאים
L0001,4233885,Lighting Fixtures,42W 4000K,סי לד 6600,False,
L0001,4233886,Lighting Fixtures,42W 4000K,סי לד 6600,False,
L0001,4233887,Lighting Fixtures,42W 4000K,סי לד 6600,False,
L0001,4233888,Lighting Fixtures,42W 4000K,סי לד 6600,False,
L0001,4233889,Lighting Fixtures,42W 4000K,סי לד 6600,False,
L0001,4233890,Lighting Fixtures,42W 4000K,סי לד 6600,False,
L0001,4233891,Lighting Fixtures,42W 4000K,סי לד 6600,False,
