מס' חדר,ID,קטגוריה,סוג,משפחה,קומה
L6013,4290747,Mechanical Equipment,AWSQ 450,AWSQ 450,L6
L6017,3886325,Electrical Fixtures,FOR LSS UPS,Frame_Socket,L6
L6018,4282971,Mechanical Equipment,AWSQ 450,AWSQ 450,L6
L6021,3858557,Electrical Fixtures,W,M_Junction Boxes - W,L6
L6021,4283006,Mechanical Equipment,AW 450,AW 450,L6
L6022,3886431,Electrical Fixtures,FOR LSS UPS,Frame_Socket,L6
L6024,1858002,Electrical Fixtures,Normal x2,Frame_Socket,L6
L6024,4260359,Mechanical Equipment,AWSQ 2000,AWSQ 2000,L6
L6025,1857991,Electrical Fixtures,Normal x1 WP,Frame_Socket,L6
L6025,3888553,Electrical Fixtures,Type 2,Frame_Socket,L6
L6025,3888798,Electrical Fixtures,Type 2,Frame_Socket,L6
L6025,3888870,Electrical Fixtures,Type 2,Frame_Socket,L6
L6025,3888960,Electrical Fixtures,Type 2,Frame_Socket,L6
L6026,1858090,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858091,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858129,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858131,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858133,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858135,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858137,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858139,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858151,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858153,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858169,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858184,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858186,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858188,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858192,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858193,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858196,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858200,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858201,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858211,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858213,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858242,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858244,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858248,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858253,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858255,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858257,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858266,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858268,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858271,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858273,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858278,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858280,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858283,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858285,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858332,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858334,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858342,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858350,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858352,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858354,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858356,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858358,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858360,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858362,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858364,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858366,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858399,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858401,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858403,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858405,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858424,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858426,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858428,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858430,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858444,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858446,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858448,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858452,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858454,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858456,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858473,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858475,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858477,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858498,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858500,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858502,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858516,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858518,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858521,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858523,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858535,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858536,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858544,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,1858546,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3673996,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3673997,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674000,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674020,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674055,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674057,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674068,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674070,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674104,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674106,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674352,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674353,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674399,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674401,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674403,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674426,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674437,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3674446,Electrical Fixtures,Type 1,Frame_Socket,L6
L6026,3858875,Electrical Fixtures,Normal x2,Frame_Socket,L6
L6026,3859086,Electrical Fixtures,Normal x2,Frame_Socket,L6
L6026,3859140,Electrical Fixtures,Normal x2,Frame_Socket,L6
L6026,3859335,Electrical Fixtures,Normal x2,Frame_Socket,L6
L6026,3859909,Electrical Fixtures,Normal x2,Frame_Socket,L6
L6027,1858015,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,L6
L6027,1858043,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,L6
L6027,1858044,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,L6
L6027,3859981,Electrical Fixtures,1 AC GEN,Frame_Socket,L6
L6027,3860051,Electrical Fixtures,1 AC GEN,Frame_Socket,L6
L6027,4327311,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L6
L6027,4327353,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L6
L6027,9492952,Mechanical Equipment,AWV 1200,AWV 1200,L6
L6027,9492976,Mechanical Equipment,AWV 1200,AWV 1200,L6
L6029,1858060,Electrical Equipment,60x160x210 UPS,Yani_Circuit breaker_SwitchBoard,L6
L6029,4327269,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L6
L6030,1858041,Electrical Equipment,60x240x210  GEN,Yani_Circuit breaker_SwitchBoard,L6
L6030,1858058,Electrical Equipment,60x240x210,Yani_Circuit breaker_SwitchBoard,L6
L6030,4327070,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L6
L6030,4327232,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L6
L6034,4281939,Mechanical Equipment,AWSQ 1500,AWSQ 1500,L6
L6034,4282092,Mechanical Equipment,AWSQ 1000,AWSQ 1000,L6
L6035,3886460,Electrical Fixtures,FOR LSS UPS,Frame_Socket,L6
L6044,1857990,Electrical Fixtures,Normal x1 WP,Frame_Socket,L6
L6044,3888181,Electrical Fixtures,Type 2,Frame_Socket,L6
L6044,3888189,Electrical Fixtures,Type 2,Frame_Socket,L6
L6044,3888364,Electrical Fixtures,Type 2,Frame_Socket,L6
L6044,3888442,Electrical Fixtures,Type 2,Frame_Socket,L6
L6044,3888516,Electrical Fixtures,Type 2,Frame_Socket,L6
L6045,3858606,Electrical Fixtures,W,M_Junction Boxes - W,L6
L6048,3858438,Electrical Fixtures,W,M_Junction Boxes - W,L6
L6055,1858593,Electrical Fixtures,Normal x1 WP,Frame_Socket,L6
L6055,3887097,Electrical Fixtures,Type 2,Frame_Socket,L6
L6055,3887138,Electrical Fixtures,Type 2,Frame_Socket,L6
L6055,3887173,Electrical Fixtures,Type 2,Frame_Socket,L6
L6057,1858596,Electrical Fixtures,Normal x1 WP,Frame_Socket,L6
L6057,3886832,Electrical Fixtures,Type 2,Frame_Socket,L6
L6057,3886840,Electrical Fixtures,Type 2,Frame_Socket,L6
L6057,3886996,Electrical Fixtures,Type 2,Frame_Socket,L6
L6059,1858641,Electrical Fixtures,Normal x1 WP,Frame_Socket,L6
L6059,3887678,Electrical Fixtures,Type 2,Frame_Socket,L6
L6059,3887718,Electrical Fixtures,Type 2,Frame_Socket,L6
L6059,3887763,Electrical Fixtures,Type 2,Frame_Socket,L6
L6061,1858643,Electrical Fixtures,Normal x1 WP,Frame_Socket,L6
L6061,3887555,Electrical Fixtures,Type 2,Frame_Socket,L6
L6061,3887599,Electrical Fixtures,Type 2,Frame_Socket,L6
L6061,3887636,Electrical Fixtures,Type 2,Frame_Socket,L6
L6062,1858552,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,L6
L6062,1858553,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,L6
L6062,1858556,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,L6
