מס' חדר,ID,קטגוריה,סוג,משפחה,קומה
L4002,1605755,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4002,1605886,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4002,1605895,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4002,1624640,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,L4
L4002,1695432,Electrical Fixtures,1 AC,Frame_Socket,L4
L4002,3998577,Electrical Fixtures,Type 2,Frame_Socket,L4
L4002,3998578,Electrical Fixtures,Type 2,Frame_Socket,L4
L4002,3998610,Electrical Fixtures,Type 2,Frame_Socket,L4
L4002,3998611,Electrical Fixtures,Type 2,Frame_Socket,L4
L4002,3998620,Electrical Fixtures,Type 2,Frame_Socket,L4
L4002,3998903,Electrical Fixtures,1 AC,Frame_Socket,L4
L4002,3998906,Electrical Fixtures,1 AC,Frame_Socket,L4
L4002,12791422,Mechanical Equipment,AWSQ 1200,AWSQ 1200(right),L4
L4002,12812349,Mechanical Equipment,AWSQ 700,AWSQ 700(right),L4
L4003,1606011,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4003,1606021,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4003,1649117,Electrical Fixtures,Normal x1 WP,Frame_Socket,L4
L4003,3885078,Electrical Fixtures,Type 2,Frame_Socket,L4
L4003,3885235,Electrical Fixtures,Type 2,Frame_Socket,L4
L4003,3885336,Electrical Fixtures,Type 2,Frame_Socket,L4
L4004,1648964,Electrical Fixtures,Normal x2,Frame_Socket,L4
L4004,3963840,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,L4
L4004,3963841,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,L4
L4006,1603817,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4006,1603827,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4006,1979333,Mechanical Equipment,AW 800,AW 800(right),L4
L4008,1604285,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4008,1604415,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4008,1648214,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4008,1648216,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4008,1648218,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4008,1648219,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4008,1648220,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4008,1648221,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4008,1648222,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4008,1648223,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4008,1648224,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4008,1648225,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4008,1648226,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4008,1648227,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4008,1648229,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,L4
L4008,1648230,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,L4
L4008,1653105,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,L4
L4008,1653106,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,L4
L4008,1695427,Electrical Fixtures,1 AC GEN,Frame_Socket,L4
L4008,1695429,Electrical Fixtures,1 AC GEN,Frame_Socket,L4
L4008,3963817,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4008,3963818,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4008,3963819,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4008,3963820,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4008,3963821,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4008,3963822,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4008,3963823,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4008,3963824,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4008,3963831,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4008,3999100,Electrical Fixtures,Gen,Frame_Socket,L4
L4008,3999101,Electrical Fixtures,Gen,Frame_Socket,L4
L4008,4326220,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L4
L4008,4326275,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L4
L4008,1981782,Mechanical Equipment,AWV 1200,AWV 1200,L4
L4008,1982228,Mechanical Equipment,AWV 1200,AWV 1200,L4
L4009,2224366,Mechanical Equipment,AWSQ 450,AWSQ 450(right),L4
L4010,3885773,Electrical Fixtures,W,M_Junction Boxes - W,L4
L4010,3963842,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,L4
L4010,2224271,Mechanical Equipment,AW 450,AW 450(right),L4
L4012,1605996,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4012,1606003,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4012,1649110,Electrical Fixtures,Normal x1 WP,Frame_Socket,L4
L4012,3884942,Electrical Fixtures,Type 2,Frame_Socket,L4
L4012,3884991,Electrical Fixtures,Type 2,Frame_Socket,L4
L4012,3885037,Electrical Fixtures,Type 2,Frame_Socket,L4
L4013,1444750,Electrical Equipment,1000A,M_Disconnect Switches,L4
L4013,1653355,Electrical Equipment,60x240x210  GEN,Yani_Circuit breaker_SwitchBoard,L4
L4013,4326179,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L4
L4016,1648957,Electrical Fixtures,Normal x2,Frame_Socket,L4
L4016,3963825,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,L4
L4016,3963826,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,L4
L4016,2224151,Mechanical Equipment,AWSQ 450,AWSQ 450(right),L4
L4017,1603763,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4017,1603809,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4018,1277583,Electrical Equipment,1000A,M_Disconnect Switches,L4
L4018,1653280,Electrical Equipment,60x240x210,Yani_Circuit breaker_SwitchBoard,L4
L4018,4326132,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L4
L4024,3883515,Electrical Fixtures,FOR LSS UPS,Frame_Socket,L4
L4025,1610568,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4025,1610572,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4025,1800446,Mechanical Equipment,AW 800,AW 800(right),L4
L4027,1610898,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4027,1610907,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4027,1610916,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4027,1648977,Electrical Fixtures,Normal x2,Frame_Socket,L4
L4027,1648978,Electrical Fixtures,Normal x2,Frame_Socket,L4
L4027,1695439,Electrical Fixtures,1 AC,Frame_Socket,L4
L4027,3998603,Electrical Fixtures,Type 2,Frame_Socket,L4
L4027,3998958,Electrical Fixtures,1 AC,Frame_Socket,L4
L4027,3998963,Electrical Fixtures,1 AC,Frame_Socket,L4
L4027,3999229,Electrical Fixtures,Type 2,Frame_Socket,L4
L4027,1815347,Mechanical Equipment,AWSQ 1000,AWSQ 1000(right),L4
L4027,12816342,Mechanical Equipment,AWSQ 700,AWSQ 700(right),L4
L4028,1613703,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4028,1613704,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4028,1648980,Electrical Fixtures,Normal x1 WP,Frame_Socket,L4
L4028,3884555,Electrical Fixtures,Type 2,Frame_Socket,L4
L4028,3884697,Electrical Fixtures,Type 2,Frame_Socket,L4
L4028,3884740,Electrical Fixtures,Type 2,Frame_Socket,L4
L4029,3963936,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4029,3963937,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4032,1610851,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4032,1610859,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4032,1648189,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,L4
L4032,1648190,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,L4
L4032,1648193,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4032,1648201,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4032,1648202,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4032,1648203,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4032,1648204,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4032,1648205,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4032,1648206,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4032,1648207,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4032,1648208,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4032,1648209,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4032,1648210,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4032,1648211,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L4
L4032,1648233,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,L4
L4032,1648235,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,L4
L4032,1695436,Electrical Fixtures,1 AC GEN,Frame_Socket,L4
L4032,1695438,Electrical Fixtures,1 AC GEN,Frame_Socket,L4
L4032,3963909,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4032,3963910,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4032,3963911,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4032,3963912,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4032,3963913,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4032,3963915,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4032,3963916,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4032,3963917,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4032,3963918,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4032,3999098,Electrical Fixtures,Gen,Frame_Socket,L4
L4032,3999099,Electrical Fixtures,Gen,Frame_Socket,L4
L4032,4326089,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L4
L4032,4326107,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L4
L4032,1800164,Mechanical Equipment,AWV 1200,AWV 1200,L4
L4032,1800165,Mechanical Equipment,AWV 1200,AWV 1200,L4
L4033,2224613,Mechanical Equipment,AWSQ 450,AWSQ 450(right),L4
L4037,1613700,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4037,1613702,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L4
L4037,1649154,Electrical Fixtures,Normal x1 WP,Frame_Socket,L4
L4037,3884376,Electrical Fixtures,Type 2,Frame_Socket,L4
L4037,3884480,Electrical Fixtures,Type 2,Frame_Socket,L4
L4037,3884522,Electrical Fixtures,Type 2,Frame_Socket,L4
L4038,1443813,Electrical Equipment,1000A,M_Disconnect Switches,L4
L4038,1967999,Electrical Equipment,60x240x210  GEN,Yani_Circuit breaker_SwitchBoard,L4
L4038,4326010,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L4
L4040,1444863,Electrical Equipment,1000A,M_Disconnect Switches,L4
L4040,1647055,Electrical Equipment,60x240x210,Yani_Circuit breaker_SwitchBoard,L4
L4040,4326050,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L4
L4044,1648954,Electrical Fixtures,Normal x2,Frame_Socket,L4
L4044,3963931,Lighting Fixtures,42W 4000K,סי לד 6600,L4
L4044,3963933,Lighting Fixtures,42W 4000K,סי לד 6600,L4
